title;labels;keywords;gpt;tags_label;gpt_label
Common Service Centre (CSC);open_data;cscs,csc,certificatetype,certificatedata,pradhan,certificates,certificate,certificateparameters,providername,pmgdisha,cgpamax,fullname,servicename,access,gateway_timeout,cgpa,invalid_authentication,gateway,vtc,centres,apisetu,code,username,open_data,9dfc,php,ea9c43aa,sunita,cg,dataprovider,dataconsumer,saksharta,internal_server_error,api_specification_v8,www,e1caa24737ba,centre,issuedat,scheme,status,clientid,authentication,invalid_consentid,apikey,marksmaxpractical,verify,invalid_authorization,invalid_txnid,sscer,service_unavailable,markspractical,invalid_format,87;open_data;10;10
Dr. B.R. Ambedkar Institute of Technology,Andaman & Nicobar Islands;open_data;apisetu,api_specification_v8,apikey,open_data,url_not_found,providername,dbraitandaman,internal_server_error,ambedkar,access,php,gateway,gateway_timeout,invalid_authentication,sunil,service_unavailable,invalid_format,sunita,invalid_parameter,invalid_txnid,application,contains,certificateparameters,idnumber,provide,servicename,certificatedata,fullname,contents,user,4325,provided,cert_no,clientid,andaman,server,invalid_authorization,xml,missing_parameter,header,updatedate,errordescription,record_not_found,address,e1caa24737ba,980,service,array,cgpamax,failed,kumar;open_data;10;10
Tamil Nadu State Board (Tamil Nadu Directorate of Government Examinations), Tamil Nadu;open_data;tamilnadu,marksheet,marksheets,nadu,tamil,issuedat,markstotal,examinations,certificatedata,certificates,examination,marksmaxpractical,dgecerttn,mark,markspractical,marksmaxtheory,idnumber,marksmax,markstheory,dd,certificateparameters,ddthh,fullname,dgecert,verify,invalid_authentication,authentication,certificatetype,certificate,9dfc,invalid_txnid,issuedate,invalid_consentid,clientid,apikey,errordescription,providername,apisetu,access,api_specification_v8,10,sunil,open_data,02,servicename,status,grade,20020,uid,sunita,updatedate,invalid_format,code,gateway_timeout,id;open_data;10;10
Importer-Exporter Details API;open_data;exportertype,dgft,importer,exporter,api_key,imports,exports,api_specification_v8,header,code,apikey,gateway,gateway_timeout,iec,badd1,open_data,addressline2,invalid_authentication,foreign,apisetu,iecissuedate,badd2,iecmodificationdate,providername;open_data;10;10
BOARD OF HIGHER SECONDARY EXAMINATION, KERALA, Kerala;open_data;apisetu,hse,dhsekerala,certificateparameters,open_data,examinations,examination,school,access,certificatedata,internal_server_error,sunita,exam,sunil,higher,providername,service_unavailable,status,grade,invalid_txnid,url_not_found,e1caa24737ba,gateway_timeout,secondary,education,invalid_authentication,certificate,board,api_specification_v8,12,updatedate,php,hpcer,servicename,available,4325,sscer,ss,xii,404error,marksmaxpractical,students,ea9c43aa,apikey,marksmaxtheory,user,503error,clientid,10,99,markspractical,02,xml;open_data;10;10
Department of IT and Communication, Arunachal Pradesh;open_data;eilp,eilpappid,arunachalilp,eilpcontactnumber,arunachal,ilpmt,sunil,invalid_authorization,request,access,invalid_consentid,requested,open_data,gateway_timeout,api_specification_v8,1100044,issuedat,invalid_authentication,apikey,clientid,digilocker,provide,certificateparameters,internal_server_error,invalid_txnid,verify,permit,apisetu,authorized,php,invalid_format,kumar,xml,providername,pradesh,gateway,user,uid,email,consentid,ditarunachal,invalid_parameter,url_not_found,authentication,application,idnumber,pdf,errordescription,issuedto,87,pass;open_data;10;10
eDistrict Chandigarh, Chandigarh;open_data;chandigarh,providername,chdservices,edistrict,access,certificatedata,portal,delhi,open_data,certificateparameters,online,gateway,idnumber,issuedat,delivery,clientid,invalid_authentication,gateway_timeout,sunita,apisetu,email,ddthh,server,central,url_not_found,php,servicename,authentication,uid,invalid_consentid,provide,marksmaxpractical,digilocker,autinctehc,id,dd,markstotal,apikey,errordescription,internal_server_error,invalid_txnid,xml,header,address,markspractical,dataprovider,invalid_authorization,info,gurgaon,disabilitystatus,updatedate,swdindicator,sscer,marksmaxtheory,user;open_data;10;10
Directorate of Information Technology, Government of Tripura, Tripura;open_data;tripura,tripurastate,dittripura,open_data,access,portal,php,online,user,providername,invalid_authentication,sunita,apisetu,clientid,invalid_consentid,uuid,internal_server_error,url_not_found,invalid_authorization,consentid,idnumber,xml,application,api_specification_v8,invalid_txnid,gateway,vrwmi,id,gateway_timeout,email,cgpamax,pass,public,certificatedata,dataprovider,authentication,delivery,header,updatedate,invalid_format,info,government,consentartifact,server,certificateparameters,path,errordescription,invalid_parameter,gpmax,pdf,issuedat,idtype,delhi,marksmaxpractical,education,request,marksmaxtheory,provide,contains,apikey,address,contents,registration;open_data;10;10
University Of Delhi;open_data;open_data,invalid_authentication,delhi,certificateparameters,apisetu,php,invalid_format,invalid_authorization,certificatedata,certificates,university,invalid_parameter,invalid_consentid,url_not_found,internal_server_error,access,providername,api_specification_v8,uuid,invalid_txnid,certificate,invalid,students,xml,idnumber,duexam,issuing,issuedat,apikey,verify,sunita,authentication,gurgaon,99,1100044,e1caa24737ba,pin,uid,clientid,issuedby,www,87,degree,user,gateway_timeout,gateway,contents,ea9c43aa,senion,validfromdate,2017;open_data;10;10
eDistrict Andaman & Nicobar Islands, Andaman & Nicobar;open_data;andaman,portal,online,nicobar,access,gateway,apisetu,edistrictandaman,url_not_found,internal_server_error,providername,authentication,open_data,user,invalid_authentication,server,sunita,certificatedata,certificatenumber,apikey,php,islands,issuedat,marksmaxpractical,application,resident,marksmaxtheory,gateway_timeout,idnumber,email,clientid,invalid_consentid,bad_gatewy,markspractical,edistrict,unauthorized,marksmax,certificateparameters,provide,uid,record_not_found,markstotal,invalid_authorization,public,servicename,kumar,service_unavailable,bar,updatedate,issuedby,uuid,certificate,service,internal,issuedto,senion;open_data;10;10
eDistrict Himachal Pradesh, Himachal Pradesh;open_data;himachal,himachali,pradesh,edistricthp,edistrict,portal,apisetu,hp,invalid_consentid,applicationnumber,delhi,online,xml,email,access,providername,gateway,invalid_authentication,php,application,clientid,pariwar,internal_server_error,apikey,user,invalid_authorization,authentication,open_data,issuedat,marksmaxpractical,inter,api_specification_v8,server,request,contractor,agcer,uuid,errordescription,country,indigent,gateway_timeout,sunita,gurgaon,delivery,disabilitystatus,govt,markspractical,kumar,certificateparameters,registration,idnumber,verify,ddthh,consentid,invalid,invalid_format,migrant,central,url_not_found,updatedate,state,header,invalid_txnid,certificatedata,pdf,pass,uid;open_data;10;10
eDistrict Kerala, Kerala;open_data;kerala,edistrictkerala,online,portal,edistrict,access,open_data,providername,php,gateway,apikey,user,uid,apisetu,authentication,clientid,certificatedata,url_not_found,marksmaxpractical,gateway_timeout,txnid,invalid_txnid,provide,idcer,email,markspractical,certificateparameters,server,state,uuid,xml,invalid_authentication,delhi,contents,internal_server_error,sunita,invalid_consentid,idnumber,marksmaxtheory,address,yyyy,senion,certificates,disabilitystatus,pncer,consentid,subcategory,digilocker,solvency,99,delivery,record_not_found,issuedat,application,available,servicename,inter,updatedate,govt,errordescription,pdf,ddthh,marksmax;open_data;10;10
eDistrict Odisha, Odisha;open_data;odisha,edistrict,open_data,edistrictodisha,access,providername,online,portal,php,certificatedata,email,invalid_consentid,invalid_authentication,uid,marksmaxpractical,gateway,markspractical,user,certificateparameters,uuid,apisetu,clientid,internal_server_error,invalid_authorization,gateway_timeout,url_not_found,apikey,address,authentication,xml,idnumber,sunita,marksmaxtheory,state,delhi,87,certificates,issuedat,consentid,subcategory,provide,invalid_format,updatedate,server,record_not_found,contents,verify,invalid_txnid,errordescription,application,certificate,disabilitystatus,authorized,id,marksmax,api_specification_v8;open_data;10;10
eDistrict Odisha ServicePlus, Odisha;open_data;api_specification_v8,apisetu,open_data,php,apikey,access,internal_server_error,providername,invalid_authentication,odisha,url_not_found,invalid_parameter,server,invalid_format,servicename,certificateparameters,gateway_timeout,xml,user,service_unavailable,gateway,certificatedata,invalid_txnid,invalid_authorization,provided,contains,provide,attribute,contents,sunil,record_not_found,address,fullname,87,info,errordescription,sunita,invalid_consentid,4325,array,application,clientid,idnumber,updatedate,edistrictodishasp,e1caa24737ba,locality,email,dataprovider,caste,service,aadhaar,header,code;open_data;10;10
Punjab State eGovernance Society, Punjab;open_data;punjabgovt,punjab,edistrictpb,open_data,providername,portal,online,access,certificateparameters,edistrict,url_not_found,registrationid,invalid_consentid,php,delhi,certificates,invalid_authentication,consentid,sunil,certificatedata,uuid,gurgaon,gateway,delivery,uid,clientid,contents,internal_server_error,server,authentication,issuedat,enter,user,marksmaxpractical,gateway_timeout,pass,email,invalid_txnid,id,servicename,btcer,markspractical,fullname,idnumber,99,sunita,address,consentartifact,apikey,signature,invalid_format,certificate,marksmaxtheory,cgpamax,swdindicator,invalid_authorization,sscer,aadhaar,pin;open_data;10;10
eDistrict Uttar Pradesh, Uttar Pradesh;open_data;edistrictup,edistrict,open_data,portal,pradesh,apikey,access,uttar,certificateid,providername,online,delhi,apisetu,uuid,php,user,uid,invalid_consentid,sunita,updatedate,application,xml,clientid,email,pin,central,gateway_timeout,internal_server_error,gateway,issuedat,invalid_authorization,99,errordescription,state,invalid_authentication,certificateparameters,respond,idnumber,certificatedata,url_not_found,invalid_txnid,birth,digilocker,api_specification_v8,district,id,country,consentid,idtype,issuedby,marksmaxpractical,87,request,disabilitystatus,invalid_format,senion;open_data;10;10
Department of Food and Civil Supplies Himachal Pradesh, Himachal Pradesh;open_data;apisetu,himachal,ration,hp,ehimapurtihp,providername,4325,api_specification_v8,supplies,open_data,apikey,pradesh,internal_server_error,access,application,contents,issuedat,gateway_timeout,url_not_found,download,kumar,invalid_txnid,provide,available,service_unavailable,gpmax,sunita,503,ea9c43aa,gurgaon,gateway,pin,invalid_authentication,invalid_format,php,unavailable,aadhaar,issuedby,ratcr,e1caa24737ba,certificateparameters,pdf,cgpamax,contains,503error,marksmax,invalid_authorization,invalid_parameter,xml,marksmaxtheory,user;open_data;10;10
Revenue, Registration & Land Reforms Department, Jharkhand;open_data;jharkhand,enibandhanjh,issuedat,registration,issuedby,chakradharpur,garhwa,registered,register,open_data,certificatedata,issuedate,invalid_authentication,updatedate,internal_server_error,issuing,regitration,deoghar,final_doc_reg_no,fullname,certificateparameters,invalid_consentid,xml,department,bundu,invalid_authorization,aadhaar,revenue,invalid_txnid,123412341234,php,invalid_format,contents,rdcer,sunita,dhanbad,deeds,kumar,2017,sunil,99,gateway_timeout,reforms,02,status,pdf,17,issuedto,application,delhi,gurgaon,onwards,invalid,certificate,providername,504error,01;open_data;10;10
Employees' Provident Fund Organization;open_data;pension,epfindia,php,open_data,www,epfo,providername,invalid_txnid,epfsc,downloaded,api_specification_v8,apisetu,ppono,invalid_authentication,invalid_authorization,account,clientid,fund,pdf,invalid_consentid,info,servicename,invalid_format,ppo,access,apikey,gateway_timeout,503,sunita,idnumber,issuedat,e1caa24737ba,application,invalid_parameter,502,gpmax,provided,scheme,payment,fullname,99,9dfc,txnid,apsid00040466,user,503error,updatedate,504,31,url_not_found,sunil,internal_server_error,uncrd;open_data;10;10
Himachal Pradesh Department of Revenue, Himachal Pradesh;open_data;epramanhp,praman,patra,himachal,epraman,pradesh,apisetu,psprt,lok,portal,pramod,sunita,kumar,apikey,issuedat,internal_server_error,providername,marksmax,hp,marksmaxtheory,marksmaxpractical,gateway,revenue,4325,application,php,api_specification_v8,invalid_authentication,markstotal,online,disabilitystatus,access,delivery,markspractical,invalid_consentid,503,verification,contents,gateway_timeout,clientid,rmcer,user,email,internal,503error,invalid_authorization,502,invalid_format,servicename,govt,markstheory,anand,504,area,updatedate,provide,url_not_found,502error,service;open_data;10;10
eService (eDistrict), Arunachal Pradesh;open_data;arunachal,portal,providername,pradesh,online,invalid_consentid,access,eservicearunachal,internal_server_error,user,clientid,open_data,invalid_authentication,email,gateway,application,php,sunil,apikey,eservice,invalid_authorization,servicename,issuedat,delhi,8624,invalid_format,edistrict,sscer,xml,apisetu,gateway_timeout,service,server,invalid_txnid,rscer,govt,request,address,invalid,updatedate,api_specification_v8,gurgaon,header,contents,internal,issuedby,sunita,certificateparameters,certificatedata,state,provide,accounts,kumar,public,chcer;open_data;10;10
Food and Supplies Department, Haryana;open_data;haryanafood,haryana,4325,api_specification_v8,invalid_txnid,ration,supplies,card_no,open_data,kumar,sunil,providername,apikey,apisetu,invalid_format,txnid,ratcr,503,provide,service_unavailable,gurgaon,internal_server_error,gateway_timeout,06xxxxxxxxxx5,pdf,issuedat,url_not_found,contents,gpmax,504,503error,department,502,available,servicename,pin,download,marksmax,service,invalid_parameter,sunita,9dfc,contains,address,certificateparameters,fullname,marksmaxtheory,ea9c43aa,card,php;open_data;10;10
Future Generali Total Insurance Solutions;open_data;futuregenerali,future,policyno,generali,insurance,api_specification_v8,e1caa24737ba,2019,policy,policies,fullname,php,gateway_timeout,info,providername,total,mobile,gateway,sunita,open_data,available,wheeler,apisetu,solutions,invalid_authentication,9dfc,path,invalid_txnid,pdf,issued,sunil,access,a0be,vehicle,29b0,cgpamax,respond,line2,application,issuedby,provide,issuedat,v3,apikey,email,contains,gpmax,clientid,senion,7f5a,xml,permanent;open_data;10;10
General Administration Department, Bihar;open_data;gadbih,certificateparameters,open_data,bihar,apisetu,internal_server_error,access,e1caa24737ba,invalid_authentication,gateway_timeout,url_not_found,ews,certificatedata,api_specification_v8,invalid_txnid,gateway,array,apikey,providername,4325,ewsxx,contains,invalid_authorization,record_not_found,administration,1100044,invalid_format,address,certificate,verify,digilocker,locality,central,ea9c43aa,fetch,service_unavailable,issuedat,c012345,authentication,issuedby,php,invalid_parameter,unavailable,server,servicename,issuedate,87,invalid_consentid,idnumber,updatedate,contents,bad_gatewy,provide,xml;open_data;10;10
Gauhati University;open_data;api_specification_v8,apisetu,open_data,url_not_found,apikey,invalid_authentication,gauhati,php,www,providername,access,certificateparameters,internal_server_error,invalid_parameter,invalid_authorization,invalid_format,invalid_txnid,contains,idnumber,user,4325,fullname,certificatedata,application,invalid_consentid,record_not_found,uuid,available,service_unavailable,clientid,authentication,appl_no,server,registration,e1caa24737ba,ea9c43aa,servicename,missing_parameter,contents,17,404error,digilocker,87,array,xml,unavailable,sunita,invalid,503error,99,gateway_timeout;open_data;10;10
Goa State Board of Secondary and Higher Secondary Education, Goa;open_data;apisetu,api_specification_v8,apikey,access,url_not_found,open_data,providername,certificateparameters,internal_server_error,school,php,goa,invalid_txnid,contains,service_unavailable,contents,e1caa24737ba,invalid_authentication,provided,user,invalid_format,gateway,certificatedata,gateway_timeout,address,4325,provide,servicename,marksheet,invalid_parameter,application,fullname,education,info,header,secondary,cgpamax,record_not_found,sunita,status,hscer,server,gbshse,pass,code,ea9c43aa,404error,includes,unavailable;open_data;10;10
Geetanjali University, Udaipur;open_data;geetanjaliuniversity,open_data,geetanjaliuniv,geetanjali,certificateparameters,udaipur,invalid_authentication,apisetu,uuid,php,sunita,certificatedata,certificates,www,gurgaon,api_specification_v8,internal_server_error,url_not_found,certificate,apikey,uid,providername,invalid_format,delhi,invalid_authorization,invalid_txnid,access,invalid_parameter,xml,university,user,authentication,contents,invalid_consentid,available,invalid,2016,pin,students,issuedat,ea9c43aa,application,gateway_timeout,issuing,99,verify,1100044,idnumber,currently,87,issuedby,e1caa24737ba;open_data;10;10
GMCH, Chandigarh;open_data;chandigarh,gmch,hospital,gurgaon,open_data,providername,labrp,central,certificateparameters,reports,laboratory,access,sunil,college,provides,api_specification_v8,idnumber,php,clinical,report,invalid_txnid,url_not_found,medical,cgpamax,certificatedata,contents,fullname,gpmax,4325,delhi,contains,invalid_format,available,invalid_consentid,info,invalid_authentication,1100044,ddthh,dataprovider,gateway,apisetu,clientid,patient,invalid_authorization,provide,array,150801xxx,xml,header,uhid,sunita,digilocker;open_data;10;10
Goa Water Resources Department, Goa;open_data;goawrd,goa,wrd,open_data,departmental,portal,internal_server_error,department,invalid_txnid,php,uuid,internal,uid,pramod,invalid_format,ercer,404error,govt,swd,txnid,invalid_parameter,invalid_consentid,registration,certificateparameters,resources,access,gateway,user,gurgaon,gateway_timeout,providername,invalid_authentication,4325,401error,sunil,contents,avail,api_specification_v8,400error,district,503error,504error,petroleum,invalid_authorization,pdf,central,bad_gatewy,clientid,ea9c43aa,gov,99,examination,invalid,dataprovider;open_data;10;10
Go Digit General Insurance Ltd.;open_data;godigit,providername,insurance,policynumber,www,open_data,apisetu,access,authentication,api_specification_v8,php,searchdocument,invalid_authentication,sunita,issuedat,user,fullname,policy,vehicle,registration,idnumber,id,apikey,clientid,servicename,url_not_found,issuedby,select,uuid,verify,car,respond,provide,invalid_txnid,invalid_consentid,info,sunil,enter,policies,99,issuedate,application,pin,invalid_authorization,e1caa24737ba,country,70,number,header,general,email,request,contains,ea9c43aa,503;open_data;10;10
Gujarat Vidyapith, Ahmedabad;open_data;gujaratvidyapith,gujarat,ahmedabad,vidyapith,certificateparameters,certificatedata,anand,open_data,certificate,sunita,certificates,uid,delhi,apisetu,gateway,vtc,internal_server_error,dataprovider,02,20020,gurgaon,www,gateway_timeout,kumar,swd,server,uuid,contents,issuedat,url_not_found,e1caa24737ba,invalid_format,currently,a2,providername,access,invalid_authentication,status,pramod,php,pdf,available,17,invalid_consentid,diploma,address,bad_gatewy,issuing,swdindicator,invalid_parameter,502error,130001;open_data;10;10
Ministry of Petroleum and Natural Gas (HPCL);open_data;hpcl,hindustanpetroleum,apisetu,open_data,connections,lpgsv,url_not_found,www,php,lpg,access,providername,available,api_specification_v8,lpgid,subscription,cgpamax,clientid,503,gateway_timeout,provide,87,apikey,header,provided,502,contains,sunil,record_not_found,504,user,service_unavailable,gateway,invalid_authentication,tracking,path,unavailable,pin,xml,e1caa24737ba,gpmax,info,4325,invalid_consentid,line2,aadhaar,9dfc,line1,gurgaon,certificateparameters,invalid_authorization,email,31,fullname;open_data;10;10
Board of Ayurvedic and Unani Systems of Medicine, Himachal Pradesh, Himachal Pradesh;open_data;himachal,pradesh,unani,ayurvedic,sunita,sunil,hpayushboard,open_data,delhi,online,portal,gurgaon,access,apisetu,invalid_txnid,invalid_authentication,invalid_consentid,certificateparameters,user,php,internal_server_error,uuid,providername,org,systems,examination,invalid,apikey,99,clientid,gateway,invalid_authorization,disabilitystatus,registration,application,xml,contents,kumar,invalid_format,state,internal,status,central,medicine,e1caa24737ba,certificatedata,01,marksmaxpractical,fullname,authentication,email,certificate;open_data;10;10
Himachal Pradesh Board of School Education, Himachal Pradesh;open_data;apisetu,hpbose,himachal,dharamshala,school,certificateparameters,api_specification_v8,invalid_authentication,pradesh,apikey,internal_server_error,open_data,certificates,class,invalid_format,sunita,certificatedata,fullname,students,provisional,e1caa24737ba,10,certificate,4325,ea9c43aa,invalid_parameter,xml,grade,examination,access,status,php,education,sunil,17,marksmaxpractical,errordescription,contains,url_not_found,18,invalid_authorization,invalid_txnid,invalid_consentid,header,available,404error,05,delhi,a0be,disabilitystatus,1100044,xii;open_data;10;10
Panchayati Raj Department, Himachal Pradesh, Himachal Pradesh;open_data;parivar,patra,hppanchayat,himachal,apisetu,pradesh,panchayati,hp,sunita,gateway,php,portal,certificateparameters,kumar,epanchayat,internal_server_error,delhi,aadhaar,pin,apikey,invalid_authentication,status,access,providername,invalid_parameter,server,servicename,gurgaon,4325,api_specification_v8,dataprovider,district,gateway_timeout,pramod,contains,certificatedata,email,user,url_not_found,vtc,raj,invalid_authorization,register,17,country,service,array,march,invalid,anand,path;open_data;10;10
HP Swasthya Bima Yojna Society, Himachal Pradesh;open_data;hpsbys,hp,pradesh,himachal,apisetu,sunita,online,www,swasthya,portal,apikey,disabilitystatus,clientid,internal_server_error,php,api_specification_v8,open_data,epraman,invalid_authentication,providername,access,gurgaon,invalid_consentid,available,marksmaxpractical,certificateparameters,kumar,user,delhi,gpmax,gateway,aadhaar,4325,digilocker,swdindicator,email,invalid_txnid,server,application,authentication,provide,service,invalid_authorization,servicename,marksmaxtheory,e1caa24737ba,url_not_found,status,uuid,govt,service_unavailable,pin;open_data;10;10
HP Staff Selection Commission - HPSSC - Himachal Pradesh, Himachal Pradesh;open_data;hpsssb,himachal,hp,apisetu,pradesh,hpssc,portal,access,api_specification_v8,internal_server_error,online,php,apikey,certificateparameters,marksmaxtheory,gateway,disabilitystatus,admit,sunita,pin,marksmaxpractical,status,sunil,application,user,delhi,invalid_authentication,server,4325,examination,providername,kumar,marksmax,open_data,servicename,commision,gurgaon,markspractical,adcrd,xml,pass,503error,commission,gateway_timeout,clientid,503,email,gpmax,govt,fullname,markstheory,authentication;open_data;10;10
Himachal Pradesh Takniki Shiksha Board Dharamshala, Himachal Pradesh;open_data;hptechboard,apisetu,himachal,dharamshala,pradesh,api_specification_v8,takniki,shiksha,sunita,certificateparameters,sunil,internal_server_error,open_data,apikey,www,certificatedata,php,url_not_found,fullname,invalid_authentication,available,providername,invalid_format,4325,gurgaon,access,certificate,clientid,dipcr,invalid_txnid,contains,gpmax,marksmaxpractical,header,disabilitystatus,e1caa24737ba,gateway,gateway_timeout,service_unavailable,marksmax,marksmaxtheory,87,invalid_parameter,xml,ea9c43aa,vtc,record_not_found,invalid_consentid,idnumber,school,503;open_data;10;10
Haryana State Board of Technical Education, Haryana;open_data;hsbte,marksheet,marksheets,apisetu,open_data,invalid_authentication,providername,marksmaxtheory,url_not_found,certificateparameters,invalid_txnid,issuedat,api_specification_v8,markstheory,invalid_format,certificatedata,php,marksmax,access,haryana,service_unavailable,internal_server_error,clientid,server,verify,servicename,gateway_timeout,apikey,invalid_authorization,invalid_parameter,issuedate,fullname,markstotal,authentication,idnumber,e1caa24737ba,contains,user,header,marksmaxpractical,issuedby,4325,provide,updatedate,issuing,record_not_found,invalid_consentid,ea9c43aa,sunita,2017,markspractical,gurgaon;open_data;10;10
Maharashtra State Board of Secondary and Higher Secondary Education, Maharashtra;open_data;mahahsscboard,hsscboardmh,apisetu,marksheet,xii,marksheets,api_specification_v8,open_data,hscer,internal_server_error,certificateparameters,grade,invalid_txnid,access,class,p183286,marksmaxpractical,e1caa24737ba,school,status,totalmarks,pass,url_not_found,gateway_timeout,maharashtra,20020,apikey,errordescription,secondary,invalid_format,fullname,passing,517,hpcer,examination,php,marksmaxtheory,marksmax,02,markspractical,header,10,code,contents,4325,404error,contains,sunil,c183286,exam,board,sunita,ss,ea9c43aa;open_data;10;10
ICICI Lombard GIC Ltd.;open_data;icicilombard,icici,api_specification_v8,lombard,info,apikey,www,cripc,providername,87,invalid_authentication,header,php,invalid_format,miipc,invalid_txnid,open_data,invalid_authorization,insurance,apisetu,invalid_parameter,cgpamax,cvipc,url_not_found,internal_server_error,e1caa24737ba,invalid_consentid,pin,tripc,contents,clientid,code,access,idnumber,accounts,central,gateway_timeout,51962270,gic,9dfc,99,hlipc,record_not_found,updatedate,contains,request,ea9c43aa,hmipc,issuedat,provide,email,policies,missing_parameter,errordescription;open_data;10;10
ICICI Prudential Life Insurance Company Ltd;open_data;iciciprulife,icici,api_specification_v8,apikey,providername,php,info,clientid,servicename,apisetu,invalid_parameter,prudential,invalid_txnid,invalid_format,cgpamax,insurance,open_data,header,pin,invalid_authentication,provided,99,87,access,31,internal_server_error,provide,parameter,invalid_authorization,certificatedata,4325,invalid_consentid,code,e1caa24737ba,certificateparameters,application,url_not_found,gateway_timeout,contents,wrapped,9dfc,pdf,attribute,01,policynumber,gateway,number,company,updatedate,idnumber;financial;10;0
Institute of Company Secretaries of India;open_data;icsi,institute,open_data,info,acs,id,idnumber,access,api_specification_v8,internal_server_error,account,secretaries,invalid_authentication,apikey,membership_no,certificateparameters,application,sunil,address,available,url_not_found,apisetu,fullname,php,invalid_authorization,record_not_found,contents,clientid,certificatedata,gateway,e1caa24737ba,providername,xml,authentication,invalid_format,membership,members,internal,certificates,header,idtype,gateway_timeout,87,array,india,central,ea9c43aa,invalid_consentid,invalid_txnid,code,authorized;open_data;10;10
Department of Registration & Stamps, Maharashtra;open_data;registration,issuedby,issuedat,invalid_txnid,open_data,apisetu,internal_server_error,invalid_authentication,gateway_timeout,invalid_authorization,certificateparameters,issuing,certificatedata,gateway,issuedate,invalid_format,invalid_consentid,stamps,api_specification_v8,access,invalid_parameter,providername,department,apikey,idnumber,dept,application,record_not_found,user,code,php,504error,ea9c43aa,service_unavailable,404error,url_not_found,clientid,errordescription,issuedto,maharashtra,servicename,marksmaxtheory,4325,certificates,502error,contents,verify,503error,updatedate,info,1100044;open_data;10;10
Indian Navy (INS Valsura);open_data;marksheet,insvalsura,marksheets,servicename,valsura,internal_server_error,invalid_authentication,providername,api_specification_v8,apisetu,marksmax,service_unavailable,marksmaxpractical,certificateparameters,certificatedata,invalid_format,coursename,entry,server,access,markspractical,invalid_txnid,marksmaxtheory,service,xml,gateway_timeout,certificates,invalid_parameter,php,ins,indian,contents,open_data,training,sunita,certificate,markstotal,navy,record_not_found,invalid_authorization,apikey,url_not_found,authentication,status,issuedat,available,skmst,mothername,code,errordescription,idnumber,shivaji,accounts,invalid_consentid,info;open_data;10;10
Ministry of Petroleum and Natural Gas (IOCL);open_data;iocl,apisetu,url_not_found,www,providername,open_data,connections,access,lpgsv,api_specification_v8,123412341234,header,provided,e1caa24737ba,gateway_timeout,available,invalid_authentication,cgpamax,gateway,apikey,clientid,record_not_found,xml,invalid_authorization,php,certificateparameters,provide,service_unavailable,certificatedata,bad_gatewy,unavailable,9dfc,lpg,info,issuedat,invalid_txnid,invalid_consentid,pin,request,internal_server_error,1100044,user,contents,lpgtv,subscription,voucher,authentication,invalid_format,email,pass,servicename;open_data;10;10
Jharkhand State Board (Jharkhand Academic Council), Jharkhand;open_data;jac,jharkhand,marksheets,marksheet,certificates,certificatedata,api_specification_v8,internal_server_error,apikey,certificateparameters,certificate,council,open_data,invalid_authentication,invalid_format,ea9c43aa,vtc,php,apisetu,students,2013,code,fullname,issuedat,grade,server,academic,status,xml,school,invalid_txnid,rollcode,9dfc,2014,sunita,invalid_authorization,marksmaxpractical,academiccertificateschema,contents,central,markspractical,array,providername,uuid,87,2016,url_not_found,verify,authentication,marksmax,class,marksmaxtheory,hscer,e1caa24737ba;open_data;10;10
Joint Entrance Examination Council, Uttar Pradesh, Uttar Pradesh;open_data;jeecup,entrance,examination,apisetu,admit,certificateparameters,affiliated,gateway,apikey,certificatedata,api_specification_v8,examyear,polytechnics,pradesh,gateway_timeout,certificate,fullname,internal_server_error,e1caa24737ba,ea9c43aa,open_data,adcrd,uid,applicationno,access,providername,council,invalid_authentication,institutes,central,delhi,4325,contents,marksmaxpractical,gurgaon,authentication,cgpa,php,status,joint,cgpamax,uttar,pin,sunil,clientid,application,xml,invalid_txnid,sunita,issuedat,99,markspractical,nic;open_data;10;10
Jharsewa (eDistrict), Jharkhand;open_data;jharsewa,jharkhand,certificatedata,sunita,certificateparameters,certificates,jhrc,open_data,certificate,server,apisetu,comprehensive,caste,array,invalid_authentication,district,services,issuedat,status,php,web,chars,servicename,xml,internal_server_error,rmcer,apikey,portal,4325,provides,service,authentication,issuedate,sscer,delhi,btcer,school,marksmaxtheory,access,kumar,gateway,invalid_format,e1caa24737ba,markstheory,provide,performance,code,providername,updatedate,verify,rscer,api_specification_v8,gurgaon,clientid,marksmax,400error,castecertificateschema;open_data;10;10
Jawaharlal Nehru Rajkeeya Mahavidyalaya;open_data;jnrmand,jnrm,open_data,invalid_authentication,downloaded,invalid_txnid,internal_server_error,access,transfer,invalid_format,certificates,record_not_found,url_not_found,issuedat,pdf,4325,providername,certificatedata,certificateparameters,apisetu,invalid_authorization,invalid_parameter,invalid_consentid,server,registration,gateway_timeout,xml,sunita,php,header,user,certificate,citizen,api_specification_v8,contents,verify,sunil,address,service_unavailable,gateway,12po0012,fullname,issuedate,apikey,authentication,cgpamax,record,servicename,issued,pin,issuedby;open_data;10;10
